,internal_storage,warp_size,weft_size,type,item_no,warp_a,warp_b,weft_a,weft_b,warp_dens,weft_dens,warp_nominal,weft_nominal,warp_nominal_norm,weft_nominal_norm,warp_nominal_scaled,weft_nominal_scaled,warp_dens_norm,weft_dens_norm,warp_dens_scaled,weft_dens_scaled
1,2007-0075-003,290,40,n_band,0,0.3,0.5,0.6,0.8,16.0,10.0,0.4,0.7,0.06037063621085768,0.09479387813818747,-0.44207781831335946,2.154852273489229,0.045134036430717374,0.06417380238804325,-0.6810854752014855,-0.01364171109368855
3,2007-0056-004,300,20,n_band,0,0.2,0.5,0.2,0.6,30.0,9.0,0.35,0.4,0.05282430668450046,0.05416793036467856,-1.0925308582796303,-0.7906917616432253,0.08462631830759507,0.057756422149238935,0.9294933316277375,-0.3990200494903992
4,2007-0059-001,420,20,n_band,0,0.4,0.6,0.5,0.6,24.0,10.0,0.5,0.55,0.0754632952635721,0.07448090425143303,0.8588282616191807,0.6820802559230024,0.06770105464607605,0.06417380238804325,0.23924527155807046,-0.01364171109368855
5,2007-0059-003,50,30,fabric,0,0.4,0.6,0.5,0.5,24.0,10.0,0.5,0.5,0.0754632952635721,0.0677099129558482,0.8588282616191807,0.1911562500675928,0.06770105464607605,0.06417380238804325,0.23924527155807046,-0.01364171109368855
6,2007-0059-004,60,90,fabric,0,0.5,0.6,0.5,0.6,11.0,7.0,0.55,0.55,0.0830096247899293,0.07448090425143303,1.5092813015854516,0.6820802559230024,0.03102965004611819,0.04492166167163028,-1.256292191926208,-1.1697767262838206
14,2007-0082-002,190,60,m_band,0,0.2,0.4,0.2,0.5,22.0,16.0,0.3,0.35,0.04527797715814325,0.04739693906909374,-1.7429838982459003,-1.2816157674986348,0.06205930009223638,0.10267808382086921,0.00916258486818146,2.2986283192865753
16,2007-0038-003,85,44,fabric,0,0.3,0.5,0.4,0.6,18.0,14.0,0.4,0.5,0.06037063621085768,0.0677099129558482,-0.44207781831335946,0.1911562500675928,0.05077579098455704,0.08984332334326056,-0.45100278851159653,1.527871642493154
19,2007-0050-005,70,80,m_band,0,0.4,0.6,0.4,0.6,26.0,10.0,0.5,0.5,0.0754632952635721,0.0677099129558482,0.8588282616191807,0.1911562500675928,0.07334280919991573,0.06417380238804325,0.4693279582479595,-0.01364171109368855
20,2007-0050-006,260,30,n_band,0,0.3,0.6,0.3,0.6,24.0,9.0,0.45,0.45,0.06791696573721488,0.06093892166026338,0.20837522165291064,-0.2997677557878162,0.06770105464607605,0.057756422149238935,0.23924527155807046,-0.3990200494903992
23,2007-0050-009,100,50,m_band,0,0.2,0.3,0.3,0.5,52.0,17.0,0.25,0.4,0.03773164763178605,0.05416793036467856,-2.3934369382121705,-0.7906917616432253,0.14668561839983146,0.10909546405967353,3.4604028852165167,2.6840066576832857
24,2007-0050-012,200,130,w_band,0,0.45,0.5,0.4,0.5,34.0,12.0,0.48,0.45,0.0724447634530292,0.06093892166026338,0.5986470456326725,-0.2997677557878162,0.09590982741527442,0.07700856286565191,1.3896587050075155,0.7571149656997327
25,2007-0084-001,70,80,fabric,0,0.5,0.6,0.5,0.6,24.0,12.0,0.55,0.55,0.0830096247899293,0.07448090425143303,1.5092813015854516,0.6820802559230024,0.06770105464607605,0.07700856286565191,0.23924527155807046,0.7571149656997327
