order,grave,add,z,internal_storage,number,warp_size,weft_size,type,item_no,structure,condition,weaving_technique,warp_material,weft_material,warp_dyed,weft_dyed,twist_warp,twist_weft,angle_warp,angle_weft,even (равномерность — фактор),cover factor,selvedge,warp_a,warp_b,warp_thick_mean,weft_a,weft_b,weft_mean,warp_dens,weft_dens
1,80,0,0,2007-0075-002,,100,110,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,5",1,"0,75","0,5",1,"0,75",13,8
2,80,0,0,2007-0075-003,,290,40,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,3","0,5","0,4","0,6","0,8","0,7",16,10
3,86,0,0,2007-0056-003,,140,90,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,I,loose,-,,,,"0,5","0,5","0,5","0,1","0,2","0,15",18,6
4,86,0,1,2007-0056-004,,300,20,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,2","0,5","0,35","0,2","0,6","0,4",30,9
5,87,0,1,2007-0059-001,,420,20,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,4","0,6","0,5","0,5","0,6","0,55",24,10
6,87,0,1,2007-0059-003,,50,30,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,4","0,6","0,5","0,5","0,5","0,5",24,10
7,87,0,1,2007-0059-004,,60,90,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,"0,5","0,6","0,55","0,5","0,6","0,55",11,7
8,88,0,0,2007-0034-001,,90,60,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,5","0,8","0,65","0,5","0,8","0,65",22,12
9,88,0,0,2007-0034-002,,120,50,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,loose,,,,"0,6","0,8","0,7","0,6",1,"0,8",13,8
10,88,0,0,2007-0034-003,,100,100,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,5","0,6","0,55","0,6",1,"0,8",12,8
11,88,0,0,2007-0034-004,,550,40,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,loose,,,,"0,8","1,2",1,"0,8",1,"0,9",12,8
12,88,0,0,2007-0034-005,,400,40,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,uneven,,,,"0,5",1,"0,75","0,4",1,"0,7",12,9
13,93,0,0,2007-0082-001,,60,300,m_band,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,uneven,,,,"0,5",1,"0,75","0,4",1,"0,7",14,10
13,93,0,0,2007-0082-001,,60,800,m_band,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,uneven,,,,"0,5",1,"0,75","0,4",1,"0,7",14,10
14,93,0,0,2007-0082-002,,190,60,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,uneven,uneven,,,,"0,2","0,4","0,3","0,2","0,5","0,35",22,16
15,93,0,0,2007-0082-003,,550,40,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,loose,,,,"0,8","1,2",1,"0,8",1,"0,9",12,8
16,95,0,1,2007-0038-003,,85,44,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,3","0,5","0,4","0,4","0,6","0,5",18,14
17,95,0,1,2007-0038-004,,310,90,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,loose,,,,"0,5","0,8","0,65","0,5","0,8","0,65",15,8
18,95,0,1,2007-0050-001,,310,90,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,loose,,,,"0,6","0,8","0,7","0,5","0,8","0,65",14,7
19,95,0,1,2007-0050-005,,70,80,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,4","0,6","0,5","0,4","0,6","0,5",26,10
20,95,0,1,2007-0050-006,,260,30,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,uneven,,,,"0,3","0,6","0,45","0,3","0,6","0,45",24,9
21,95,0,1,2007-0050-007,,370,40,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,medium,,,,"0,5","0,8","0,65","0,2","0,5","0,35",28,10
22,95,0,1,2007-0050-010,,100,90,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,I,medium,-,,,,"0,5","1,3","0,9",1,2,"1,5",10,5
23,95,0,1,2007-0050-009,,100,50,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,2","0,3","0,25","0,3","0,5","0,4",52,17
24,95,0,1,2007-0050-012,,200,130,w_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,45","0,5","0,48","0,4","0,5","0,45",34,12
25,97,0,0,2007-0084-001,,70,80,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,"0,5","0,6","0,55","0,5","0,6","0,55",24,12
26,97,0,0,2007-0084-002,,90,80,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,"0,5","0,8","0,65","0,5","0,8","0,65",14,10
27,97,0,0,2007-0084-003,,70,12,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,uneven,loose,,,,"0,5","0,8","0,65","0,6","1,2","0,9",10,7
28,107,0,0,2007-0040,,110,70,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,uneven,loose,,,,"0,5","0,8","0,65","0,6",1,"0,8",12,8
29,108,0,0,2007-0047-001,,120,110,w_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,3","0,6","0,45","0,7","0,8","0,75",16,12
30,108,0,0,2007-0047-002,,50,290,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,2","0,5","0,35","0,2","0,5","0,35",16,14
31,126,0,1,2007- 0077-001,,720,20,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,"0,5",1,"0,75","0,8",1,"0,9",13,8
32,126,0,1,2007- 0077-004,,120,80,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,"0,2","0,5","0,35","0,4","0,6","0,5",24,10
33,126,0,1,2007- 0077-005,,130,60,fabric,0,mono,fragment,tabby,linen,linen,light,light,S,S,uneven,loose,,,,"0,2","0,5","0,35","0,4","0,5","0,45",23,12
34,133,0,0,2010- 0001-001,,200,260,sewn_ item,1,composite,fragment,basket,linen,linen,no,no,S,S,medium,medium,,,,"0,5","0,6","0,55","0,5","0,6","0,55",12,8
34,133,0,0,2010- 0001-001,,100,70,sewn_item,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,2","0,2","0,25","0,3","0,4","0,35",36,13
35,133,0,0,2010- 0001-002,,140,45,band,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,6","0,8","0,7","0,6",1,"0,8",12,10
36,133,0,0,2010- 0001-002,,8,18,band,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,2","0,4","0,3","0,4","0,6","0,5",32,14
37,133,0,0,2008-0036-001-01,,6,14,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,medium,,,,"0,4","0,6","0,5","0,4","0,5","0,45",14,16
38,133,0,0,2008-0036-001-02,,60,30,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,4","0,5","0,45","0,4","0,5","0,45",24,10
39,133,0,0,2008-0036-001-03,,12,120,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,3","0,5","0,4","0,3","0,6","0,45",36,14
40,133,0,0,2008-0036-001-04,,20,20,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,3","0,5","0,4","0,3","0,5","0,4",24,10
41,133,0,0,2008-0036-001-05,,15,20,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,3","0,5","0,4","0,3","0,5","0,4",22,12
42,133,0,0,2008-0036-001-06,,10,40,fabric,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,2","0,4","0,3","0,2","0,4","0,3",36,14
42,133,0,0,2008-0036-001-06,,20,15,fabric,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,2","0,4","0,3","0,2","0,4","0,3",36,14
