,order,grave,add,z,internal_storage,number,warp_size,weft_size,type,item_no,structure,condition,weaving_technique,warp_material,weft_material,warp_dyed,weft_dyed,twist_warp,twist_weft,angle_warp,angle_weft,even (равномерность — фактор),cover factor,selvedge,warp_a,warp_b,warp_thick_mean,weft_a,weft_b,weft_mean,warp_dens,weft_dens,warp_nominal,weft_nominal,warp_weft,density_coefficient,kmeans_dens
14,14.0,93,0.0,0.0,2007-0082-002,,190,60,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,uneven,uneven,,,,0.2,0.4,"0,3",0.2,0.5,"0,35",22.0,16.0,0.3,0.35,1.38,1.38,0
16,16.0,95,0.0,1.0,2007-0038-003,,85,44,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.5,"0,4",0.4,0.6,"0,5",18.0,14.0,0.4,0.5,1.29,1.29,1
23,23.0,95,0.0,1.0,2007-0050-009,,100,50,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.3,"0,25",0.3,0.5,"0,4",52.0,17.0,0.25,0.4,3.06,3.06,2
30,30.0,108,0.0,0.0,2007-0047-002,,50,290,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.5,"0,35",0.2,0.5,"0,35",16.0,14.0,0.35,0.35,1.14,1.14,1
35,34.0,133,0.0,0.0,2010- 0001-001,,100,70,sewn_item,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.2,"0,25",0.3,0.4,"0,35",36.0,13.0,0.2,0.35,2.77,2.77,2
37,36.0,133,0.0,0.0,2010- 0001-002,,8,18,band,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.4,"0,3",0.4,0.6,"0,5",32.0,14.0,0.3,0.5,2.29,2.29,0
38,37.0,133,0.0,0.0,2008-0036-001-01,,6,14,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,medium,,,,0.4,0.6,"0,5",0.4,0.5,"0,45",14.0,16.0,0.5,0.45,0.88,0.88,1
40,39.0,133,0.0,0.0,2008-0036-001-03,,12,120,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.5,"0,4",0.3,0.6,"0,45",36.0,14.0,0.4,0.45,2.57,2.57,2
43,42.0,133,0.0,0.0,2008-0036-001-06,,10,40,fabric,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.4,"0,3",0.2,0.4,"0,3",36.0,14.0,0.3,0.3,2.57,2.57,2
44,42.0,133,0.0,0.0,2008-0036-001-06,,20,15,fabric,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.4,"0,3",0.2,0.4,"0,3",36.0,14.0,0.3,0.3,2.57,2.57,2
45,42.0,133,0.0,0.0,2008-0036-001-06,,14,25,fabric,3,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.4,"0,3",0.2,0.4,"0,3",36.0,14.0,0.3,0.3,2.57,2.57,2
47,44.0,133,0.0,0.0,2008-0036-001-09,,10,20,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,medium,,,,0.2,0.4,"0,3",0.2,0.3,"0,25",40.0,14.0,0.3,0.25,2.86,2.86,2
69,64.0,159,1.0,0.0,2008-0001,,205,235,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,uneven,medium,,,,0.2,0.4,"0,3",0.3,0.6,"0,45",24.0,14.0,0.3,0.45,1.71,1.71,0
71,66.0,159,1.0,0.0,2008-0001-002-01,,155,230,funeral_shroud,2,composite,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,0.2,0.4,"0,3",0.2,0.4,"0,3",16.0,16.0,0.3,0.3,1.0,1.0,1
74,69.0,159,0.0,1.0,2008-001-003-04,,480,320,fabric,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.4,"0,3",0.3,0.5,"0,4",24.0,15.0,0.3,0.4,1.6,1.6,0
76,71.0,159,0.0,1.0,2008-001-003-05,,160,65,fabric,1,composite,fragment,tabby,linen,linen,no,no,S,S,loose,medium,,,,0.4,0.5,"0,45",0.2,0.4,"0,3",36.0,16.0,0.45,0.3,2.25,2.25,2
78,73.0,159,0.0,1.0,2008-001-003-05,,160,65,fabric,3,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.5,"0,4",0.3,0.5,"0,4",22.0,16.0,0.4,0.4,1.38,1.38,0
83,78.0,"160, 165-167",0.0,0.0,2008-002-010-01,,500,25,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,0.2,0.3,"0,25",0.1,0.2,"0,15",42.0,16.0,0.25,0.15,2.62,2.62,2
99,91.0,163,0.0,1.0,2008-008-03,,100,25,n_band,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.3,"0,25",0.2,0.2,"0,2",44.0,13.0,0.25,0.2,3.38,3.38,2
