,warp_dens,weft_dens,warp_nominal,weft_nominal,classes
3,30.0,9.0,0.35,0.4,1
13,22.0,16.0,0.3,0.35,1
17,26.0,10.0,0.5,0.5,1
19,28.0,10.0,0.65,0.35,1
20,34.0,12.0,0.48,0.45,1
31,36.0,13.0,0.2,0.35,1
33,32.0,14.0,0.3,0.5,1
36,36.0,14.0,0.4,0.45,1
39,36.0,14.0,0.3,0.3,1
40,36.0,14.0,0.3,0.3,1
41,36.0,14.0,0.3,0.3,1
42,32.0,12.0,0.35,0.35,1
47,28.0,9.0,0.65,0.6,1
48,28.0,12.0,0.45,0.55,1
51,25.0,10.0,0.3,0.4,1
53,26.0,10.0,0.45,0.45,1
54,26.0,10.0,0.45,0.45,1
57,26.0,10.0,0.35,0.45,1
58,26.0,12.0,0.4,0.5,1
61,34.0,8.0,0.5,0.55,1
63,24.0,14.0,0.3,0.45,1
66,32.0,10.0,0.3,0.5,1
68,24.0,15.0,0.3,0.4,1
69,36.0,16.0,0.45,0.3,1
78,32.0,11.0,0.45,0.35,1
79,32.0,12.0,0.5,0.4,1
84,30.0,10.0,0.25,0.25,1
85,26.0,13.0,0.25,0.35,1
86,26.0,13.0,0.25,0.35,1
87,30.0,10.0,0.25,0.25,1
88,28.0,10.0,0.25,0.25,1
98,28.0,10.0,0.45,0.35,1
100,34.0,14.0,0.35,0.3,1
101,28.0,5.0,0.4,0.25,1
104,28.0,14.0,0.45,0.4,1
106,26.0,15.0,0.5,0.4,1
107,26.0,15.0,0.5,0.4,1
108,36.0,10.0,0.5,0.45,1
109,36.0,10.0,0.5,0.45,1
110,27.0,16.0,0.5,0.5,1
111,30.0,12.0,0.55,0.45,1
115,34.0,12.0,0.5,0.5,1
122,32.0,12.0,0.35,0.25,1
130,30.0,10.0,0.3,0.5,1
131,32.0,10.0,0.3,0.5,1
132,26.0,9.0,0.35,0.35,1
133,30.0,8.0,0.3,0.5,1
134,30.0,8.0,0.3,0.5,1
135,28.0,8.0,0.45,0.65,1
136,28.0,8.0,0.45,0.65,1
137,28.0,8.0,0.45,0.65,1
138,28.0,8.0,0.45,0.65,1
143,28.0,9.0,0.5,0.45,1
144,28.0,9.0,0.5,0.45,1
145,28.0,9.0,0.5,0.45,1
146,28.0,9.0,0.5,0.45,1
147,28.0,9.0,0.5,0.45,1
148,28.0,8.0,0.45,0.65,1
149,28.0,8.0,0.45,0.65,1
150,28.0,8.0,0.45,0.65,1
151,30.0,12.0,0.3,0.5,1
153,30.0,10.0,0.3,0.5,1
154,30.0,10.0,0.3,0.5,1
159,28.0,14.0,0.4,0.55,1
161,32.0,10.0,0.45,0.4,1
177,32.0,12.0,0.4,0.3,1
184,28.0,10.0,0.4,0.55,1
185,28.0,10.0,0.4,0.55,1
186,30.0,12.0,0.35,0.35,1
187,26.0,12.0,0.25,0.35,1
188,32.0,8.0,0.4,0.45,1
191,26.0,9.0,0.4,0.5,1
193,30.0,9.0,0.5,0.45,1
200,32.0,8.0,0.35,0.5,1
202,26.0,9.0,0.55,0.4,1
203,32.0,10.0,0.45,0.45,1
208,32.0,14.0,0.3,0.35,1
213,26.0,10.0,0.35,0.5,1
215,30.0,10.0,0.4,0.45,1
218,32.0,10.0,0.45,0.5,1
219,32.0,10.0,0.45,0.5,1
223,32.0,11.0,0.35,0.35,1
285,28.0,14.0,0.5,0.4,1
