,order,grave,add,z,internal_storage,number,warp_size,weft_size,type,item_no,structure,condition,weaving_technique,warp_material,weft_material,warp_dyed,weft_dyed,twist_warp,twist_weft,angle_warp,angle_weft,even (равномерность — фактор),cover factor,selvedge,warp_a,warp_b,warp_thick_mean,weft_a,weft_b,weft_mean,warp_dens,weft_dens,warp_nominal,weft_nominal,warp_weft,density_coefficient,kmeans_dens,kmeans_numeric,kmeans_dens_2
0,1.0,80,0.0,0.0,2007-0075-002,,100,110,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.5,1.0,"0,75",0.5,1.0,"0,75",13.0,8.0,0.75,0.75,1.62,1.62,0,1,0
1,2.0,80,0.0,0.0,2007-0075-003,,290,40,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.5,"0,4",0.6,0.8,"0,7",16.0,10.0,0.4,0.7,1.6,1.6,0,1,0
2,3.0,86,0.0,0.0,2007-0056-003,,140,90,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,I,loose,-,,,,0.5,0.5,"0,5",0.1,0.2,"0,15",18.0,6.0,0.5,0.15,3.0,3.0,0,1,0
3,4.0,86,0.0,1.0,2007-0056-004,,300,20,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.5,"0,35",0.2,0.6,"0,4",30.0,9.0,0.35,0.4,3.33,3.33,1,0,1
4,5.0,87,0.0,1.0,2007-0059-001,,420,20,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.6,"0,5",0.5,0.6,"0,55",24.0,10.0,0.5,0.55,2.4,2.4,1,0,1
5,6.0,87,0.0,1.0,2007-0059-003,,50,30,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.6,"0,5",0.5,0.5,"0,5",24.0,10.0,0.5,0.5,2.4,2.4,1,0,1
6,7.0,87,0.0,1.0,2007-0059-004,,60,90,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,0.5,0.6,"0,55",0.5,0.6,"0,55",11.0,7.0,0.55,0.55,1.57,1.57,0,1,0
7,8.0,88,0.0,0.0,2007-0034-001,,90,60,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.5,0.8,"0,65",0.5,0.8,"0,65",22.0,12.0,0.65,0.65,1.83,1.83,1,0,1
8,9.0,88,0.0,0.0,2007-0034-002,,120,50,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,loose,,,,0.6,0.8,"0,7",0.6,1.0,"0,8",13.0,8.0,0.7,0.8,1.62,1.62,0,1,0
9,10.0,88,0.0,0.0,2007-0034-003,,100,100,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.5,0.6,"0,55",0.6,1.0,"0,8",12.0,8.0,0.55,0.8,1.5,1.5,0,1,0
10,11.0,88,0.0,0.0,2007-0034-004,,550,40,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,loose,,,,0.8,1.2,1,0.8,1.0,"0,9",12.0,8.0,1.0,0.9,1.5,1.5,0,1,0
11,12.0,88,0.0,0.0,2007-0034-005,,400,40,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,uneven,,,,0.5,1.0,"0,75",0.4,1.0,"0,7",12.0,9.0,0.75,0.7,1.33,1.33,0,1,0
12,13.0,93,0.0,0.0,2007-0082-001,,60,300,m_band,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,uneven,,,,0.5,1.0,"0,75",0.4,1.0,"0,7",14.0,10.0,0.75,0.7,1.4,1.4,0,1,0
13,13.0,93,0.0,0.0,2007-0082-001,,60,800,m_band,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,uneven,,,,0.5,1.0,"0,75",0.4,1.0,"0,7",14.0,10.0,0.75,0.7,1.4,1.4,0,1,0
15,15.0,93,0.0,0.0,2007-0082-003,,550,40,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,loose,,,,0.8,1.2,1,0.8,1.0,"0,9",12.0,8.0,1.0,0.9,1.5,1.5,0,1,0
17,17.0,95,0.0,1.0,2007-0038-004,,310,90,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,loose,,,,0.5,0.8,"0,65",0.5,0.8,"0,65",15.0,8.0,0.65,0.65,1.88,1.88,0,1,0
18,18.0,95,0.0,1.0,2007-0050-001,,310,90,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,loose,,,,0.6,0.8,"0,7",0.5,0.8,"0,65",14.0,7.0,0.7,0.65,2.0,2.0,0,1,0
19,19.0,95,0.0,1.0,2007-0050-005,,70,80,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.6,"0,5",0.4,0.6,"0,5",26.0,10.0,0.5,0.5,2.6,2.6,1,0,1
20,20.0,95,0.0,1.0,2007-0050-006,,260,30,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,uneven,,,,0.3,0.6,"0,45",0.3,0.6,"0,45",24.0,9.0,0.45,0.45,2.67,2.67,1,0,1
21,21.0,95,0.0,1.0,2007-0050-007,,370,40,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,medium,,,,0.5,0.8,"0,65",0.2,0.5,"0,35",28.0,10.0,0.65,0.35,2.8,2.8,1,0,1
22,22.0,95,0.0,1.0,2007-0050-010,,100,90,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,I,medium,-,,,,0.5,1.3,"0,9",1.0,2.0,"1,5",10.0,5.0,0.9,1.5,2.0,2.0,0,1,0
24,24.0,95,0.0,1.0,2007-0050-012,,200,130,w_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.45,0.5,"0,48",0.4,0.5,"0,45",34.0,12.0,0.48,0.45,2.83,2.83,1,0,1
25,25.0,97,0.0,0.0,2007-0084-001,,70,80,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,0.5,0.6,"0,55",0.5,0.6,"0,55",24.0,12.0,0.55,0.55,2.0,2.0,1,0,1
26,26.0,97,0.0,0.0,2007-0084-002,,90,80,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,0.5,0.8,"0,65",0.5,0.8,"0,65",14.0,10.0,0.65,0.65,1.4,1.4,0,1,0
27,27.0,97,0.0,0.0,2007-0084-003,,70,12,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,uneven,loose,,,,0.5,0.8,"0,65",0.6,1.2,"0,9",10.0,7.0,0.65,0.9,1.43,1.43,0,1,0
28,28.0,107,0.0,0.0,2007-0040,,110,70,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,uneven,loose,,,,0.5,0.8,"0,65",0.6,1.0,"0,8",12.0,8.0,0.65,0.8,1.5,1.5,0,1,0
29,29.0,108,0.0,0.0,2007-0047-001,,120,110,w_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.6,"0,45",0.7,0.8,"0,75",16.0,12.0,0.45,0.75,1.33,1.33,0,1,0
31,31.0,126,0.0,1.0,2007- 0077-001,,720,20,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,0.5,1.0,"0,75",0.8,1.0,"0,9",13.0,8.0,0.75,0.9,1.62,1.62,0,1,0
