,order,grave,add,z,internal_storage,number,warp_size,weft_size,type,item_no,structure,condition,weaving_technique,warp_material,weft_material,warp_dyed,weft_dyed,twist_warp,twist_weft,angle_warp,angle_weft,even (равномерность — фактор),cover factor,selvedge,warp_a,warp_b,warp_thick_mean,weft_a,weft_b,weft_mean,warp_dens,weft_dens,warp_nominal,weft_nominal,threads_labels
3,4.0,86,0.0,1.0,2007-0056-004,,300,20,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.5,0.35,0.2,0.6,0.4,30.0,9.0,0.35,0.4,1
14,14.0,93,0.0,0.0,2007-0082-002,,190,60,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,uneven,uneven,,,,0.2,0.4,0.3,0.2,0.5,0.35,22.0,16.0,0.3,0.35,1
23,23.0,95,0.0,1.0,2007-0050-009,,100,50,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.3,0.25,0.3,0.5,0.4,52.0,17.0,0.25,0.4,1
30,30.0,108,0.0,0.0,2007-0047-002,,50,290,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.5,0.35,0.2,0.5,0.35,16.0,14.0,0.35,0.35,1
32,32.0,126,0.0,1.0,2007- 0077-004,,120,80,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,0.2,0.5,0.35,0.4,0.6,0.5,24.0,10.0,0.35,0.5,1
33,33.0,126,0.0,1.0,2007- 0077-005,,130,60,fabric,0,mono,fragment,tabby,linen,linen,light,light,S,S,uneven,loose,,,,0.2,0.5,0.35,0.4,0.5,0.45,23.0,12.0,0.35,0.45,1
35,34.0,133,0.0,0.0,2010- 0001-001,,100,70,sewn_item,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.2,0.25,0.3,0.4,0.35,36.0,13.0,0.2,0.35,1
37,36.0,133,0.0,0.0,2010- 0001-002,,8,18,band,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.4,0.3,0.4,0.6,0.5,32.0,14.0,0.3,0.5,1
41,40.0,133,0.0,0.0,2008-0036-001-04,,20,20,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.5,0.4,0.3,0.5,0.4,24.0,10.0,0.4,0.4,1
42,41.0,133,0.0,0.0,2008-0036-001-05,,15,20,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.5,0.4,0.3,0.5,0.4,22.0,12.0,0.4,0.4,1
43,42.0,133,0.0,0.0,2008-0036-001-06,,10,40,fabric,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.4,0.3,0.2,0.4,0.3,36.0,14.0,0.3,0.3,1
